Sample.me,ImmGen.Nomenclature,Cell.Family,Organ,Sorting.Markers,Organism.Treatment,Lab,Note,Cell.Treatment,Genetic.Variation,sample_id,Well,Owner,Batch_Number,Total_read_pairs,Uniquely_mapped_pairs,Uniquely_mapped_pct,Num_genes_over_ten,Num_genes_over_zero,TIN_mean,TIN_median,TIN_stdev,Reason
DC.Lin-CD11c+MHCII+XCR1+SIRPa-.Th.#1,DC.XCR1+SIRPa-.Th#1,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1+SIRPa-,none,Dzhagalov,none,none,none,000008530569_H08,H08,Ivan Dzhagalov,Batch28,13878602,9441914,68.03,11402,17896,65.09631187,70.11832174,18.93765083,
DC.Lin-CD11c+MHCII+XCR1+SIRPa-.Th.#2,DC.XCR1+SIRPa-.Th#2,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1+SIRPa-,none,Dzhagalov,none,none,none,000008530569_A09,A09,Ivan Dzhagalov,Batch28,14491616,9620574,66.39,11824,23017,63.61522443,67.70301628,18.27275243,
DC.Lin-CD11c+MHCII+XCR1+SIRPa-.Th.#3,DC.XCR1+SIRPa-.Th#3,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1+SIRPa-,none,Dzhagalov,none,none,none,000008530569_B09,B09,Ivan Dzhagalov,Batch28,15865347,10857613,68.44,11895,21400,65.71040527,70.63421237,18.23620108,
DC.Lin-CD11c+MHCII+XCR1+SIRPa-.Th.#4,DC.XCR1+SIRPa-.Th#4,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1+SIRPa-,none,Dzhagalov,none,none,none,000008530569_C09,C09,Ivan Dzhagalov,Batch28,12912344,8771062,67.93,11451,19558,64.26778799,68.86768591,18.48657519,
DC.Lin-CD11c+MHCII+XCR1-SIRPa+.Th.#1,DC.XCR1-SIRPa+.Th#1,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1-SIRPa+,none,Dzhagalov,none,none,none,000008530569_D09,D09,Ivan Dzhagalov,Batch28,10283934,7017587,68.24,11512,19935,63.61220046,68.00593816,18.23958021,
DC.Lin-CD11c+MHCII+XCR1-SIRPa+.Th.#2,DC.XCR1-SIRPa+.Th#2,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1-SIRPa+,none,Dzhagalov,none,none,none,000008530569_E09,E09,Ivan Dzhagalov,Batch28,15752615,10698079,67.91,12264,19386,66.96278396,71.80158063,17.72300272,
DC.Lin-CD11c+MHCII+XCR1-SIRPa+.Th.#3,DC.XCR1-SIRPa+.Th#3,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1-SIRPa+,none,Dzhagalov,none,none,none,000008530569_F09,F09,Ivan Dzhagalov,Batch28,14773491,9998143,67.68,12362,20472,66.06132251,70.71912471,17.84420868,
DC.Lin-CD11c+MHCII+XCR1-SIRPa+.Th.#4,DC.XCR1-SIRPa+.Th#4,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1-SIRPa+,none,Dzhagalov,none,none,none,000008530569_G09,G09,Ivan Dzhagalov,Batch28,16617191,10580665,63.67,12739,22289,63.21867234,66.41664241,17.09208445,
MF.Lin-CD45+F4/80+CD64+.Th.#1,MF.64+.Th#1,Macrophage,Thymus,Lin-F4/80+CD64+,none,Dzhagalov,none,none,none,000008530569_D08,D08,Ivan Dzhagalov,Batch28,10110183,6846703,67.72,10996,18467,61.96670666,66.54896765,18.88395801,
MF.Lin-CD45+F4/80+CD64+.Th.#2,MF.64+.Th#2,Macrophage,Thymus,Lin-F4/80+CD64+,none,Dzhagalov,none,none,none,000008530569_E08,E08,Ivan Dzhagalov,Batch28,15138975,10362118,68.45,11705,18936,65.18270118,69.88434434,18.14410468,
MF.Lin-CD45+F4/80+CD64+.Th.#3,MF.64+.Th#3,Macrophage,Thymus,Lin-F4/80+CD64+,none,Dzhagalov,none,none,none,000008530569_F08,F08,Ivan Dzhagalov,Batch28,15019927,10648031,70.89,11915,19237,64.96434618,69.79080654,17.90715655,
MF.Lin-CD45+F4/80+CD64+.Th.#4,MF.64+.Th#4,Macrophage,Thymus,Lin-F4/80+CD64+,none,Dzhagalov,none,none,none,000008530569_G08,G08,Ivan Dzhagalov,Batch28,13876402,10041638,72.36,11707,18381,64.16504008,68.35371183,18.10696591,
MF.F4/80+ICAM2+.PC.#1,MF.PC#03,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,none,Dzhagalov,none,none,none,000008530569_H07,H07,Ivan Dzhagalov,Batch28,14216054,9665954,67.99,11837,19234,64.19921171,68.39339878,18.07875792,
MF.F4/80+ICAM2+.PC.#2,MF.PC#04,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,none,Dzhagalov,none,none,none,000008530569_A08,A08,Ivan Dzhagalov,Batch28,19322855,12703115,65.74,12589,21117,64.43589519,69.22828786,18.70846527,
MF.F4/80+ICAM2+.PC.#3,MF.PC#05,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,none,Dzhagalov,none,none,none,000008530569_B08,B08,Ivan Dzhagalov,Batch28,18146849,12262924,67.58,12212,18243,65.19566866,70.09370962,18.33450902,
MF.F4/80+ICAM2+.PC.#4,MF.PC#06,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,none,Dzhagalov,none,none,none,000008530569_C08,C08,Ivan Dzhagalov,Batch28,14648977,9927431,67.77,11730,18744,64.59202604,69.36332602,18.42957897,
MF.T24.M.PC#1,MF.115+36+6Clo+ICAM2-226-.Thio.24h.PC#1,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_B10,B10,Emmanuel Gautier,Batch27,9866311,6983412,70.78,10672,16972,59.41571367,63.55574702,19.11906683,
MF.T24.M.PC#2,MF.115+36+6Clo+ICAM2-226-.Thio.24h.PC#2,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_C10,C10,Emmanuel Gautier,Batch27,15145105,9153799,60.44,11116,16739,62.08465833,66.55566622,18.49743069,
MF.T24.M.PC#3,MF.115+36+6Clo+ICAM2-226-.Thio.24h.PC#3,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_D10,D10,Emmanuel Gautier,Batch27,6605888,4210537,63.74,9854,15073,56.02768568,59.59365704,19.45659694,
MF.T72.M.PC#1,MF.115+36+6Clo+ICAM2-226-.Thio.72h.PC#1,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_E10,E10,Emmanuel Gautier,Batch27,13596361,9651441,70.99,10921,16282,62.34238984,66.58566826,18.3904044,
MF.T72.M.PC#2,MF.115+36+6Clo+ICAM2-226-.Thio.72h.PC#2,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_F10,F10,Emmanuel Gautier,Batch27,11849381,8288486,69.95,10704,16275,60.19261371,64.22192556,18.72045387,
MF.T72.M.PC#3,MF.115+36+6Clo+ICAM2-226-.Thio.72h.PC#3,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_G10,G10,Emmanuel Gautier,Batch27,11603952,7950165,68.51,10610,15900,59.71047566,63.91376642,19.37621943,
MF.T0.M.PC#1,MF.115+ICAM2+226-6C-.PC#1,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ ICAM2+ CD226-Ly-6C-,none,Gautier,none,none,none,000008527969_F08,F08,Emmanuel Gautier,Batch27,12869080,8837646,68.67,11118,16575,62.4604907,67.0032226,18.31959719,
MF.T0.M.PC#2,MF.115+ICAM2+226-6C-.PC#2,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ ICAM2+ CD226-Ly-6C-,none,Gautier,none,none,none,000008527969_G08,G08,Emmanuel Gautier,Batch27,13636404,9718542,71.27,11397,17130,62.8382288,67.36766195,18.38207253,
MF.T0.M.PC#3,MF.115+ICAM2+226-6C-.PC#3,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ ICAM2+ CD226-Ly-6C-,none,Gautier,none,none,none,000008527969_H08,H08,Emmanuel Gautier,Batch27,9300764,6525395,70.16,10477,15969,57.32522756,61.3296316,19.91541043,
Mo.T24.M.PC#1,Mo.115+6C+36lo+ICAM2-226-.Thio.24h.PC#1,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ CD36lo ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_G09,G09,Emmanuel Gautier,Batch27,11759750,8302421,70.6,10751,15308,59.32911435,63.37758097,19.54271469,
Mo.T24.M.PC#2,Mo.115+6C+36lo+ICAM2-226-.Thio.24h.PC#2,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ CD36lo ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_H09,H09,Emmanuel Gautier,Batch27,9035607,6491563,71.84,10306,15540,57.61691416,61.5249895,19.76327588,
Mo.T24.M.PC#3,Mo.115+6C+36lo+ICAM2-226-.Thio.24h.PC#3,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ CD36lo ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_A10,A10,Emmanuel Gautier,Batch27,9261088,6448996,69.64,10389,15965,56.4057744,60.2514315,20.58152265,
Mo.T4.M.PC#1,Mo.115+ICAM2-226-6C-.Thio.4h.PC#1,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_A09,A09,Emmanuel Gautier,Batch27,12238712,8784816,71.78,10643,16315,54.62870726,58.45856173,20.89600266,
Mo.T4.M.PC#2,Mo.115+ICAM2-226-6C-.Thio.4h.PC#2,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_B09,B09,Emmanuel Gautier,Batch27,13416013,9388851,69.98,10781,16717,59.07120235,63.71816337,20.09809077,
Mo.T4.M.PC#3,Mo.115+ICAM2-226-6C-.Thio.4h.PC#3,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_C09,C09,Emmanuel Gautier,Batch27,12636474,7999899,63.31,10251,15727,60.00836164,64.48827525,19.82152831,
Mo.T8.M.PC#1,Mo.115+ICAM2-226-6C-.Thio.8h.PC#1,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_D09,D09,Emmanuel Gautier,Batch27,7303077,3498389,47.9,8837,14413,47.40876521,48.32701331,21.26069697,
Mo.T8.M.PC#2,Mo.115+ICAM2-226-6C-.Thio.8h.PC#2,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_E09,E09,Emmanuel Gautier,Batch27,12666343,7384936,58.3,10060,15317,58.91597905,63.68979043,19.94697218,
Mo.T8.M.PC#3,Mo.115+ICAM2-226-6C-.Thio.8h.PC#3,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Thioglycollate,Gautier,none,none,none,000008527969_F09,F09,Emmanuel Gautier,Batch27,12038858,7402256,61.49,10155,15984,58.8435991,62.98908945,19.88919539,
Mo.T0.M.Bl#1,Mo.6C+.Bl#6,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,none,Gautier,none,none,none,000008527969_G06,G06,Emmanuel Gautier,Batch27,13740565,7892716,57.44,10714,17075,60.83803209,65.30002335,19.10795526,
Mo.T0.M.Bl#2,Mo.6C+.Bl#7,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,none,Gautier,none,none,none,000008527969_H06,H06,Emmanuel Gautier,Batch27,9386440,6413175,68.32,10447,16277,57.2739852,61.00101876,19.8954555,
Mo.T0.M.Bl#3,Mo.6C+.Bl#8,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,none,Gautier,none,none,none,000008527969_A07,A07,Emmanuel Gautier,Batch27,13054535,9308511,71.3,11367,16245,60.15933754,64.39517467,19.26841601,
Mo.T24.Thio.M.Bl#1,Mo.6C+.Thio.24h.BI#1,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_H07,H07,Emmanuel Gautier,Batch27,9287072,6574139,70.79,10665,16299,59.20868919,62.94299967,19.3767371,
Mo.T24.Thio.M.Bl#2,Mo.6C+.Thio.24h.BI#2,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_A08,A08,Emmanuel Gautier,Batch27,11512341,7819952,67.93,10994,16422,57.2888632,61.24655972,20.42800796,
Mo.T24.Thio.M.Bl#3,Mo.6C+.Thio.24h.BI#3,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_B08,B08,Emmanuel Gautier,Batch27,13691267,9558712,69.82,11659,17579,58.92555038,63.70832096,20.00534626,
Mo.T72.Thio.M.Bl#1,Mo.6C+.Thio.72h.BI#1,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_C08,C08,Emmanuel Gautier,Batch27,13781720,7864330,57.06,10601,16431,59.87877323,64.42663124,19.26096395,
Mo.T72.Thio.M.Bl#2,Mo.6C+.Thio.72h.BI#2,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_D08,D08,Emmanuel Gautier,Batch27,8969693,6345914,70.75,10441,16041,59.72770938,63.42941422,19.00841549,
Mo.T72.Thio.M.Bl#3,Mo.6C+.Thio.72h.BI#3,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_E08,E08,Emmanuel Gautier,Batch27,11243240,7736323,68.81,10763,16145,60.06728272,64.30842441,18.92438667,
Mo.T4.Thio.M.Bl#1,Mo.6C+Thio.4h.BI#1,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_B07,B07,Emmanuel Gautier,Batch27,14542984,8207653,56.44,10587,14099,49.71603452,52.78841433,22.69268134,Replicate Analysis
Mo.T4.Thio.M.Bl#2,Mo.6C+Thio.4h.BI#2,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_C07,C07,Emmanuel Gautier,Batch27,12756481,9098822,71.33,11167,17301,61.38093728,65.63387052,18.76326288,
Mo.T4.Thio.M.Bl#3,Mo.6C+Thio.4h.BI#3,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_D07,D07,Emmanuel Gautier,Batch27,9854184,5749132,58.34,10132,15947,58.75322673,62.84951895,19.99192755,
Mo.T4.Thio.M.Bl#4,Mo.6C+Thio.4h.BI#4,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008550669_C12,C12,Emmanuel Gautier,Batch41,10744903,6517070,60.65,9616,14782,50.42936833,53.54191537,23.63115898,Batch Effect (Continuing Analysis)
Mo.T4.Thio.M.Bl#5,Mo.6C+Thio.4h.BI#5,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008550669_D12,D12,Emmanuel Gautier,Batch41,1704777,888251,52.1,4033,10622,22.07055933,15.29697279,20.09311411,Total read pairs (<2million)
Mo.T4.Thio.M.Bl#6,Mo.6C+Thio.4h.BI#6,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008550669_E12,E12,Emmanuel Gautier,Batch41,9014878,5417765,60.1,9557,17196,42.17299464,39.57894129,24.20430421,TIN Median <45
Mo.T8.Thio.M.Bl#1,Mo.6C+Thio.8h.BI#1,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_E07,E07,Emmanuel Gautier,Batch27,16325670,9896655,60.62,11565,17428,63.58490817,67.76911593,17.97654136,
Mo.T8.Thio.M.Bl#2,Mo.6C+Thio.8h.BI#2,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_F07,F07,Emmanuel Gautier,Batch27,14029743,10262871,73.15,11413,17068,64.48962267,69.06087911,17.82045815,
Mo.T8.Thio.M.Bl#3,Mo.6C+Thio.8h.BI#3,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Thioglycollate,Gautier,none,none,none,000008527969_G07,G07,Emmanuel Gautier,Batch27,17377755,11044140,63.55,11789,17077,63.85208236,67.91673049,17.60016622,
DNpreDC.7wk.M.BM#1,DC.pDC.DN.BM#1,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C-,none,Ginhoux,none,none,none,000008550869_D01,D01,Regine Dress,Batch42,10104620,6817201,67.47,11859,18625,64.68248996,69.55701685,19.20421454,
DNpreDC.7wk.M.BM#2,DC.pDC.DN.BM#2,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C-,none,Ginhoux,none,none,none,000008550869_E01,E01,Regine Dress,Batch42,14760584,10089847,68.36,12573,19998,66.73821353,71.64558267,18.17226493,
DNpreDC.7wk.M.BM#3,DC.pDC.DN.BM#3,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C-,none,Ginhoux,none,none,none,000008550869_F01,F01,Regine Dress,Batch42,16320206,11572202,70.91,12495,20786,66.31270718,70.78188486,18.19920037,Replicate Analysis
DNpreDC.7wk.M.Sp#1,DC.pDC.DN.Sp#1,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+-Ly6C-,none,Ginhoux,none,none,none,000008550869_E02,E02,Regine Dress,Batch42,12118214,8425030,69.52,11676,19364,62.51767437,67.33545841,20.0516483,
DNpreDC.7wk.M.Sp#2,DC.pDC.DN.Sp#2,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C-,none,Ginhoux,none,none,none,000008550869_F02,F02,Regine Dress,Batch42,10553966,6627099,62.79,11778,24048,58.42673596,62.19858335,20.73229979,
DNpreDC.7wk.M.Sp#3,DC.pDC.DN.Sp#3,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C-,none,Ginhoux,none,none,none,000008550869_G02,G02,Regine Dress,Batch42,14077727,9733486,69.14,11498,18410,63.1295601,67.75341855,19.45533587,
DPpreDC.7wk.M.BM#1,DC.pDC.DP.BM#1,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+Ly6C+,none,Ginhoux,none,none,none,000008550869_A01,A01,Regine Dress,Batch42,10169743,5742397,56.47,10173,16193,44.42049402,40.68207223,23.39979241,TIN Median <45
DPpreDC.7wk.M.BM#2,DC.pDC.DP.BM#2,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+Ly6C+,none,Ginhoux,none,none,none,000008550869_B01,B01,Regine Dress,Batch42,15144119,10597078,69.97,11669,19121,64.33171199,68.71861991,19.62082713,
DPpreDC.7wk.M.BM#3,DC.pDC.DP.BM#3,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+Ly6C+,none,Ginhoux,none,none,none,000008550869_C01,C01,Regine Dress,Batch42,15046055,10780480,71.65,11491,18959,65.7692319,71.07756884,19.06656041,
S+L-preDC.7wk.M.BM#1,DC.pDC.SigH+6C-.BM#1,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+Ly6C-,none,Ginhoux,none,none,none,000008550869_G01,G01,Regine Dress,Batch42,15221209,10617107,69.75,12934,20908,66.89086741,71.51615006,17.73695772,Contamination Analysis
S+L-preDC.7wk.M.BM#2,DC.pDC.SigH+6C-.BM#2,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+Ly6C-,none,Ginhoux,none,none,none,000008550869_H01,H01,Regine Dress,Batch42,10164299,6577538,64.71,10633,16865,56.50568977,59.0502051,23.02292714,
S+L-preDC.7wk.M.BM#3,DC.pDC.SigH+6C-.BM#3,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+Ly6C-,none,Ginhoux,none,none,none,000008550869_A02,A02,Regine Dress,Batch42,11997830,8458696,70.5,11665,18004,64.2910231,69.44051349,19.82480358,
L+S-preDC.7wk.M.BM#1,DC.pDC.SigH-6C+.BM#1,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,none,Ginhoux,none,none,none,000008550869_B02,B02,Regine Dress,Batch42,13760723,9657954,70.18,11390,17736,65.42560222,70.06789588,18.95511209,
L+S-preDC.7wk.M.BM#2,DC.pDC.SigH-6C+.BM#2,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,none,Ginhoux,none,none,none,000008550869_C02,C02,Regine Dress,Batch42,11945024,8451655,70.75,10949,16707,64.40380585,70.02159761,19.99592729,
L+S-preDC.7wk.M.BM#3,DC.pDC.SigH-6C+.BM#3,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,none,Ginhoux,none,none,none,000008550869_D02,D02,Regine Dress,Batch42,7993035,5591989,69.96,10190,15526,61.27063189,65.7242972,20.72283994,
L+S-preDC.7wk.M.Sp#1,DC.pDC.SigH-6C+.Sp#1,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,none,Ginhoux,none,none,none,000008550869_H02,H02,Regine Dress,Batch42,11190030,7900118,70.6,11213,18523,63.4884675,67.97939601,19.32492854,
L+S-preDC.7wk.M.Sp#2,DC.pDC.SigH-6C+.Sp#2,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,none,Ginhoux,none,none,none,000008550869_A03,A03,Regine Dress,Batch42,13686613,9802375,71.62,11225,17679,64.55526594,69.73269805,19.77152982,
L+S-preDC.7wk.M.Sp#3,DC.pDC.SigH-6C+.Sp#3,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,none,Ginhoux,none,none,none,000008550869_B03,B03,Regine Dress,Batch42,13083071,9398820,71.84,11059,16940,64.32773615,69.1452675,19.69748657,
E14-5.Kd#2,MF.64+6C-6G-.E14.5.Kd#1,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_D04,D04,Peter See,Batch36,9381043,5970463,63.64,10205,19786,56.47845002,59.63076261,20.11184185,
E14-5.Kd#3,MF.64+6C-6G-.E14.5.Kd#2,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_E04,E04,Peter See,Batch36,13356410,8953667,67.04,10904,19409,60.84914812,64.74472578,18.80714377,
E14-5.Kd#4,MF.64+6C-6G-.E14.5.Kd#3,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_F04,F04,Peter See,Batch36,10695095,7056397,65.98,10643,20328,58.39881862,61.94476144,19.14670805,
E14-5.Lg#2,MF.64+6C-6G-.E14.5.Lu#1,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_G05,G05,Peter See,Batch36,16835700,11436576,67.93,11576,18610,62.71347083,67.09209474,18.25921667,
E14-5.Lg#3,MF.64+6C-6G-.E14.5.Lu#2,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_H05,H05,Peter See,Batch36,13582001,9281009,68.33,11105,19553,60.61597602,64.62838407,18.95892979,
E14-5.Lg#4,MF.64+6C-6G-.E14.5.Lu#3,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_A06,A06,Peter See,Batch36,12376760,8388886,67.78,11054,17891,60.23186214,64.06924795,18.9760516,
E16-5.Kd#3,MF.64+6C-6G-.E16.5.Kd#1,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_B04,B04,Peter See,Batch36,9647086,6273046,65.03,10463,18635,56.43295311,59.90060313,19.84427695,
E16-5.Kd#4,MF.64+6C-6G-.E16.5.Kd#2,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_C04,C04,Peter See,Batch36,16469005,10932362,66.38,11752,19352,63.39886443,67.64885454,17.72124477,
E16-5.Lg#3,MF.64+6C-6G-.E16.5.Lu#1,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_E05,E05,Peter See,Batch36,15916675,10616896,66.7,11518,19038,61.22439165,64.79754449,18.67414269,
E16-5.Lg#4,MF.64+6C-6G-.E16.5.Lu#2,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_F05,F05,Peter See,Batch36,17579125,11777125,66.99,11724,20172,62.81500029,66.6546263,17.42220017,
E18-5.Br#1,MF.64+6C-6G-.E18.5.Br#1,Macrophage,Brain,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_E02,E02,Peter See,Batch36,13468771,9155510,67.98,11490,20046,61.17285462,64.75936672,18.80343308,
E18-5.Br#2,MF.64+6C-6G-.E18.5.Br#2,Macrophage,Brain,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_F02,F02,Peter See,Batch36,11724993,8163023,69.62,11129,17992,59.75348818,63.39941495,18.96231837,
E18-5.Gut#1,MF.64+6C-6G-.E18.5.Co#1,Macrophage,Colon,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_G02,G02,Peter See,Batch36,10678399,7005978,65.61,11672,19600,59.4214746,63.25350984,19.02350287,Replicate Analysis
E18-5.Gut#2,MF.64+6C-6G-.E18.5.Co#2,Macrophage,Colon,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,none,Ginhoux,none,none,none,000008544769_H02,H02,Peter See,Batch36,8894999,6099753,68.58,10653,19133,56.06377717,59.30497368,19.81527311,
