SampleName,ImmGen.Nomenclature,Population,Cell.Family,Organ,Sorting.Markers,Lab,Note,sample.id,Well,Owner,Batch,Total.read.pairs,Uniquely.mapped.pairs,Uniquely.mapped.pct,Num.genes.over.ten,Num.genes.over.zero,TIN.mean,TIN.median,TIN.stdev
Mo.T24.Thio.M.Bl#2,Mo.6Cp.Thio.24h.BI.2,Mo.6Cp.Thio.24h.BI,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_A08,A08,Emmanuel Gautier,27,11512341,7819952,67.93,10994,16422,57.2888632,61.24655972,20.42800796
Mo.T24.Thio.M.Bl#3,Mo.6Cp.Thio.24h.BI.3,Mo.6Cp.Thio.24h.BI,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_B08,B08,Emmanuel Gautier,27,13691267,9558712,69.82,11659,17579,58.92555038,63.70832096,20.00534626
Mo.T72.Thio.M.Bl#1,Mo.6Cp.Thio.72h.BI.1,Mo.6Cp.Thio.72h.BI,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_C08,C08,Emmanuel Gautier,27,13781720,7864330,57.06,10601,16431,59.87877323,64.42663124,19.26096395
Mo.T72.Thio.M.Bl#2,Mo.6Cp.Thio.72h.BI.2,Mo.6Cp.Thio.72h.BI,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_D08,D08,Emmanuel Gautier,27,8969693,6345914,70.75,10441,16041,59.72770938,63.42941422,19.00841549
Mo.T72.Thio.M.Bl#3,Mo.6Cp.Thio.72h.BI.3,Mo.6Cp.Thio.72h.BI,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_E08,E08,Emmanuel Gautier,27,11243240,7736323,68.81,10763,16145,60.06728272,64.30842441,18.92438667
Mo.T4.Thio.M.Bl#2,Mo.6CpThio.4h.BI.2,Mo.6CpThio.4h.BI,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_C07,C07,Emmanuel Gautier,27,12756481,9098822,71.33,11167,17301,61.38093728,65.63387052,18.76326288
Mo.T4.Thio.M.Bl#3,Mo.6CpThio.4h.BI.3,Mo.6CpThio.4h.BI,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_D07,D07,Emmanuel Gautier,27,9854184,5749132,58.34,10132,15947,58.75322673,62.84951895,19.99192755
Mo.T8.Thio.M.Bl#1,Mo.6CpThio.8h.BI.1,Mo.6CpThio.8h.BI,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_E07,E07,Emmanuel Gautier,27,16325670,9896655,60.62,11565,17428,63.58490817,67.76911593,17.97654136
Mo.T8.Thio.M.Bl#2,Mo.6CpThio.8h.BI.2,Mo.6CpThio.8h.BI,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_F07,F07,Emmanuel Gautier,27,14029743,10262871,73.15,11413,17068,64.48962267,69.06087911,17.82045815
Mo.T8.Thio.M.Bl#3,Mo.6CpThio.8h.BI.3,Mo.6CpThio.8h.BI,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_G07,G07,Emmanuel Gautier,27,17377755,11044140,63.55,11789,17077,63.85208236,67.91673049,17.60016622
DNpreDC.7wk.M.BM#1,DC.pDC.DN.BM.1,DC.pDC.DN.BM,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C-,Ginhoux,none,000008550869_D01,D01,Regine Dress,42,10104620,6817201,67.47,11859,18625,64.68248996,69.55701685,19.20421454
DNpreDC.7wk.M.BM#2,DC.pDC.DN.BM.2,DC.pDC.DN.BM,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C-,Ginhoux,none,000008550869_E01,E01,Regine Dress,42,14760584,10089847,68.36,12573,19998,66.73821353,71.64558267,18.17226493
DNpreDC.7wk.M.Sp#1,DC.pDC.DN.Sp.1,DC.pDC.DN.Sp,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+-Ly6C-,Ginhoux,none,000008550869_E02,E02,Regine Dress,42,12118214,8425030,69.52,11676,19364,62.51767437,67.33545841,20.0516483
DNpreDC.7wk.M.Sp#2,DC.pDC.DN.Sp.2,DC.pDC.DN.Sp,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C-,Ginhoux,none,000008550869_F02,F02,Regine Dress,42,10553966,6627099,62.79,11778,24048,58.42673596,62.19858335,20.73229979
DNpreDC.7wk.M.Sp#3,DC.pDC.DN.Sp.3,DC.pDC.DN.Sp,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C-,Ginhoux,none,000008550869_G02,G02,Regine Dress,42,14077727,9733486,69.14,11498,18410,63.1295601,67.75341855,19.45533587
DPpreDC.7wk.M.BM#2,DC.pDC.DP.BM.2,DC.pDC.DP.BM,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+Ly6C+,Ginhoux,none,000008550869_B01,B01,Regine Dress,42,15144119,10597078,69.97,11669,19121,64.33171199,68.71861991,19.62082713
DPpreDC.7wk.M.BM#3,DC.pDC.DP.BM.3,DC.pDC.DP.BM,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+Ly6C+,Ginhoux,none,000008550869_C01,C01,Regine Dress,42,15046055,10780480,71.65,11491,18959,65.7692319,71.07756884,19.06656041
S+L-preDC.7wk.M.BM#2,DC.pDC.SigHp6Cn.BM.2,DC.pDC.SigHp6Cn.BM,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+Ly6C-,Ginhoux,none,000008550869_H01,H01,Regine Dress,42,10164299,6577538,64.71,10633,16865,56.50568977,59.0502051,23.02292714
S+L-preDC.7wk.M.BM#3,DC.pDC.SigHp6Cn.BM.3,DC.pDC.SigHp6Cn.BM,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH+Ly6C-,Ginhoux,none,000008550869_A02,A02,Regine Dress,42,11997830,8458696,70.5,11665,18004,64.2910231,69.44051349,19.82480358
L+S-preDC.7wk.M.BM#1,DC.pDC.SigHn6Cp.BM.1,DC.pDC.SigHn6Cp.BM,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,Ginhoux,none,000008550869_B02,B02,Regine Dress,42,13760723,9657954,70.18,11390,17736,65.42560222,70.06789588,18.95511209
L+S-preDC.7wk.M.BM#2,DC.pDC.SigHn6Cp.BM.2,DC.pDC.SigHn6Cp.BM,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,Ginhoux,none,000008550869_C02,C02,Regine Dress,42,11945024,8451655,70.75,10949,16707,64.40380585,70.02159761,19.99592729
L+S-preDC.7wk.M.BM#3,DC.pDC.SigHn6Cp.BM.3,DC.pDC.SigHn6Cp.BM,Dendritic Cell,Bone Marrow,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,Ginhoux,none,000008550869_D02,D02,Regine Dress,42,7993035,5591989,69.96,10190,15526,61.27063189,65.7242972,20.72283994
L+S-preDC.7wk.M.Sp#1,DC.pDC.SigHn6Cp.Sp.1,DC.pDC.SigHn6Cp.Sp,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,Ginhoux,none,000008550869_H02,H02,Regine Dress,42,11190030,7900118,70.6,11213,18523,63.4884675,67.97939601,19.32492854
L+S-preDC.7wk.M.Sp#2,DC.pDC.SigHn6Cp.Sp.2,DC.pDC.SigHn6Cp.Sp,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,Ginhoux,none,000008550869_A03,A03,Regine Dress,42,13686613,9802375,71.62,11225,17679,64.55526594,69.73269805,19.77152982
L+S-preDC.7wk.M.Sp#3,DC.pDC.SigHn6Cp.Sp.3,DC.pDC.SigHn6Cp.Sp,Dendritic Cell,Spleen,LIN-CD11b-MHCII-CD11c+CD135+CD172aloSiglecH-Ly6C+,Ginhoux,none,000008550869_B03,B03,Regine Dress,42,13083071,9398820,71.84,11059,16940,64.32773615,69.1452675,19.69748657
E14-5.Kd#2,MF.64p6Cn6Gn.E14.5.Kd.1,MF.64p6Cn6Gn.E14.5.Kd,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_D04,D04,Peter See,36,9381043,5970463,63.64,10205,19786,56.47845002,59.63076261,20.11184185
E14-5.Kd#3,MF.64p6Cn6Gn.E14.5.Kd.2,MF.64p6Cn6Gn.E14.5.Kd,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_E04,E04,Peter See,36,13356410,8953667,67.04,10904,19409,60.84914812,64.74472578,18.80714377
E14-5.Kd#4,MF.64p6Cn6Gn.E14.5.Kd.3,MF.64p6Cn6Gn.E14.5.Kd,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_F04,F04,Peter See,36,10695095,7056397,65.98,10643,20328,58.39881862,61.94476144,19.14670805
E14-5.Lg#2,MF.64p6Cn6Gn.E14.5.Lu.1,MF.64p6Cn6Gn.E14.5.Lu,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_G05,G05,Peter See,36,16835700,11436576,67.93,11576,18610,62.71347083,67.09209474,18.25921667
E14-5.Lg#3,MF.64p6Cn6Gn.E14.5.Lu.2,MF.64p6Cn6Gn.E14.5.Lu,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_H05,H05,Peter See,36,13582001,9281009,68.33,11105,19553,60.61597602,64.62838407,18.95892979
E14-5.Lg#4,MF.64p6Cn6Gn.E14.5.Lu.3,MF.64p6Cn6Gn.E14.5.Lu,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_A06,A06,Peter See,36,12376760,8388886,67.78,11054,17891,60.23186214,64.06924795,18.9760516
E16-5.Kd#3,MF.64p6Cn6Gn.E16.5.Kd.1,MF.64p6Cn6Gn.E16.5.Kd,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_B04,B04,Peter See,36,9647086,6273046,65.03,10463,18635,56.43295311,59.90060313,19.84427695
E16-5.Kd#4,MF.64p6Cn6Gn.E16.5.Kd.2,MF.64p6Cn6Gn.E16.5.Kd,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_C04,C04,Peter See,36,16469005,10932362,66.38,11752,19352,63.39886443,67.64885454,17.72124477
E16-5.Lg#3,MF.64p6Cn6Gn.E16.5.Lu.1,MF.64p6Cn6Gn.E16.5.Lu,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_E05,E05,Peter See,36,15916675,10616896,66.7,11518,19038,61.22439165,64.79754449,18.67414269
E16-5.Lg#4,MF.64p6Cn6Gn.E16.5.Lu.2,MF.64p6Cn6Gn.E16.5.Lu,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_F05,F05,Peter See,36,17579125,11777125,66.99,11724,20172,62.81500029,66.6546263,17.42220017
E18-5.Br#1,MF.64p6Cn6Gn.E18.5.Br.1,MF.64p6Cn6Gn.E18.5.Br,Macrophage,Brain,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_E02,E02,Peter See,36,13468771,9155510,67.98,11490,20046,61.17285462,64.75936672,18.80343308
E18-5.Br#2,MF.64p6Cn6Gn.E18.5.Br.2,MF.64p6Cn6Gn.E18.5.Br,Macrophage,Brain,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_F02,F02,Peter See,36,11724993,8163023,69.62,11129,17992,59.75348818,63.39941495,18.96231837
E18-5.Gut#2,MF.64p6Cn6Gn.E18.5.Co.2,MF.64p6Cn6Gn.E18.5.Co,Macrophage,Colon,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_H02,H02,Peter See,36,8894999,6099753,68.58,10653,19133,56.06377717,59.30497368,19.81527311
E18-5.Gut#3,MF.64p6Cn6Gn.E18.5.Co.3,MF.64p6Cn6Gn.E18.5.Co,Macrophage,Colon,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_A03,A03,Peter See,36,15260831,10400211,68.15,11685,20129,61.93707749,66.14980606,18.42705677
E18-5.Der#1,MF.64p6Cn6Gn.E18.5.Dr.1,MF.64p6Cn6Gn.E18.5.Dr,Macrophage,Dermis,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_B03,B03,Peter See,36,10752660,7175039,66.73,10424,17268,57.99272657,61.69863057,19.99207677
E18-5.Der#2,MF.64p6Cn6Gn.E18.5.Dr.2,MF.64p6Cn6Gn.E18.5.Dr,Macrophage,Dermis,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_C03,C03,Peter See,36,12286889,8073398,65.71,10954,18591,59.2776875,63.20731543,19.12164124
E18-5.Epi#1,MF.64p6Cn6Gn.E18.5.Ep.1,MF.64p6Cn6Gn.E18.5.Ep,Macrophage,Epithelial Cell,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_D03,D03,Peter See,36,11195791,7133057,63.71,10517,18034,57.85702487,61.24892717,19.73112235
E18-5.Epi#2,MF.64p6Cn6Gn.E18.5.Ep.2,MF.64p6Cn6Gn.E18.5.Ep,Macrophage,Epithelium,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_E03,E03,Peter See,36,16185187,10509479,64.93,11375,17960,61.11150967,64.58578777,18.69062796
E18-5.F.Hrt#2,MF.64p6Cn6Gn.E18.5.F.Ht.1,MF.64p6Cn6Gn.E18.5.F.Ht,Macrophage,Heart,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_F03,F03,Peter See,36,13679359,9047504,66.14,11582,21337,60.76030534,64.15736055,18.46414182
E18-5.F.Hrt#3,MF.64p6Cn6Gn.E18.5.F.Ht.2,MF.64p6Cn6Gn.E18.5.F.Ht,Macrophage,Heart,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_G03,G03,Peter See,36,11625777,7882930,67.81,11580,20965,60.13924351,63.8465502,18.80662331
E18-5.Kd#1,MF.64p6Cn6Gn.E18.5.Kd.1,MF.64p6Cn6Gn.E18.5.Kd,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_G04,G04,Peter See,36,7468509,4979358,66.67,10267,20708,55.92303715,59.00414754,19.67562256
E18-5.Kd#2,MF.64p6Cn6Gn.E18.5.Kd.2,MF.64p6Cn6Gn.E18.5.Kd,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_H04,H04,Peter See,36,13388814,9214292,68.82,11527,16675,60.33949381,64.00996711,18.60790495
E18-5.Lv#1,MF.64p6Cn6Gn.E18.5.Lv.1,MF.64p6Cn6Gn.E18.5.Lv,Macrophage,Liver,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_A05,A05,Peter See,36,11877871,7722735,65.02,11791,20359,58.21996641,61.3374236,19.23634024
E18-5.Lv#2,MF.64p6Cn6Gn.E18.5.Lv.2,MF.64p6Cn6Gn.E18.5.Lv,Macrophage,Liver,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_B05,B05,Peter See,36,9736908,6285707,64.56,11453,20469,55.46767181,58.06615108,19.64687266
E18-5.PL#2,MF.64p6Cn6Gn.E18.5.PC.1,MF.64p6Cn6Gn.E18.5.PC,Macrophage,Peritoneal Cavity,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_F07,F07,Peter See,36,10271418,6441639,62.71,9625,20928,49.68828884,50.44021819,22.37176821
E18-5.PL#3,MF.64p6Cn6Gn.E18.5.PC.2,MF.64p6Cn6Gn.E18.5.PC,Macrophage,Peritoneal Cavity,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_G07,G07,Peter See,36,9792683,5959499,60.86,9435,19292,47.84450207,47.59113227,22.65752098
E18-5.F.Sp#2,MF.64p6Cn6Gn.E18.5.Sp.1,MF.64p6Cn6Gn.E18.5.Sp,Macrophage,Spleen,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_H07,H07,Peter See,36,12765158,7846175,61.47,11704,23015,59.17791501,62.68695163,19.60258293
E18-5.F.Sp#3,MF.64p6Cn6Gn.E18.5.Sp.2,MF.64p6Cn6Gn.E18.5.Sp,Macrophage,Spleen,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_A08,A08,Peter See,36,14857256,10076592,67.82,12397,22631,63.26366474,67.54353235,18.13200932
E18-5.F.Thy#2,MF.64p6Cn6Gn.E18.5.Thy.1,MF.64p6Cn6Gn.E18.5.Thy,Macrophage,Thymus,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_B08,B08,Peter See,36,15652371,10925860,69.8,12640,16198,64.29694217,68.32103265,17.74577921
E18-5.F.Thy#3,MF.64p6Cn6Gn.E18.5.Thy.2,MF.64p6Cn6Gn.E18.5.Thy,Macrophage,Thymus,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_C08,C08,Peter See,36,9351200,6110596,65.35,11170,18734,56.59215222,59.76331369,19.3045559
E18-5.F.Thy#4,MF.64p6Cn6Gn.E18.5.Thy.3,MF.64p6Cn6Gn.E18.5.Thy,Macrophage,Thymus,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_D08,D08,Peter See,36,7255108,4638557,63.94,10631,18723,55.17664412,57.8797634,19.39611363
NB.Kd#1,MF.64p6Cn6Gn.Kd.Neo.1,MF.64p6Cn6Gn.Kd.Neo,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_H03,H03,Peter See,36,8059152,5529180,68.61,10633,21550,57.7152403,61.04742597,19.50370998
NB.Kd#2,MF.64p6Cn6Gn.Kd.Neo.2,MF.64p6Cn6Gn.Kd.Neo,Macrophage,Kidney,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_A04,A04,Peter See,36,14177590,9752982,68.79,11566,20310,61.73012742,65.52304865,18.55163456
NB.Lg#1,MF.64p6Cn6Gn.Lu.Neo.1,MF.64p6Cn6Gn.Lu.Neo,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_C05,C05,Peter See,36,8068608,5391197,66.82,10545,18385,54.83661063,57.60626421,21.11195833
NB.Lg#2,MF.64p6Cn6Gn.Lu.Neo.2,MF.64p6Cn6Gn.Lu.Neo,Macrophage,Lung,CD45+CD11b+F4/80+CD64+Ly6C-Ly6G-,Ginhoux,none,000008544769_D05,D05,Peter See,36,10576388,6836865,64.64,11103,17236,57.12733849,59.95551052,19.44372799
E14-5.F.PL#2,MF.E14.5.F.PC.1,MF.E14.5.F.PC,Macrophage,Peritoneal Cavity,F4/80+CD102+,Ginhoux,none,000008544769_H06,H06,Peter See,36,13820846,9309596,67.36,10917,18543,59.18580614,63.42232182,19.47452359
E14-5.F.PL#3,MF.E14.5.F.PC.2,MF.E14.5.F.PC,Macrophage,Peritoneal Cavity,F4/80+CD102+,Ginhoux,none,000008544769_A07,A07,Peter See,36,12885796,8517046,66.1,10745,19320,57.26590523,60.4306943,19.82030439
E14-5.F.PL#4,MF.E14.5.F.PC.3,MF.E14.5.F.PC,Macrophage,Peritoneal Cavity,F4/80+CD102+,Ginhoux,none,000008544769_B07,B07,Peter See,36,12459896,8171768,65.58,10673,21681,57.74194573,61.22694258,19.98152149
E16-5.F.PL#3,MF.E16.5.PC.1,MF.E16.5.PC,Macrophage,Peritoneal Cavity,F4/80+CD102+,Ginhoux,none,000008544769_F06,F06,Peter See,36,16285760,10753248,66.03,11124,15835,60.71203957,64.83565733,18.93212942
E16-5.F.PL#4,MF.E16.5.PC.2,MF.E16.5.PC,Macrophage,Peritoneal Cavity,F4/80+CD102+,Ginhoux,none,000008544769_G06,G06,Peter See,36,16305629,10823492,66.38,11255,16106,59.87375457,63.88000704,19.25402411
E18-5.F.PL#1,MF.E18.5.F.PC.1,MF.E18.5.F.PC,Macrophage,Peritoneal Cavity,F4/80+CD102+,Ginhoux,none,000008544769_C07,C07,Peter See,36,16048824,10719272,66.79,11157,20614,58.5631905,61.96494225,19.99708315
E18-5.F.PL#3,MF.E18.5.F.PC.2,MF.E18.5.F.PC,Macrophage,Peritoneal Cavity,F4/80+CD102+,Ginhoux,none,000008544769_D07,D07,Peter See,36,11501274,7221443,62.79,10241,21635,54.24803224,56.69590725,20.38442703
E18-5.F.PL#4,MF.E18.5.F.PC.3,MF.E18.5.F.PC,Macrophage,Peritoneal Cavity,F4/80+CD102+,Ginhoux,none,000008544769_E07,E07,Peter See,36,18380547,12222583,66.5,11636,22772,61.57197293,65.54452914,18.48827232
MF.8wk.M.PC#1,MF.PC.37,MF.PC,Macrophage,Peritoneal Cavity,CD102+F4/80+,Ginhoux,none,000008550869_C03,C03,Regine Dress,42,17105464,12252912,71.63,11711,18607,65.76348885,70.65567916,18.69122298
MF.8wk.M.PC#2,MF.PC.38,MF.PC,Macrophage,Peritoneal Cavity,CD102+F4/80+,Ginhoux,none,000008550869_D03,D03,Regine Dress,42,10796558,7589081,70.29,10870,16845,62.08173878,66.93603059,20.27310531
NB.F.PL#1,MF.PC.F.Neo.1,MF.PC.F.Neo,Macrophage,Peritoneal Cavity,F4/80+CD102+,Ginhoux,none,000008544769_D06,D06,Peter See,36,7655322,4920226,64.27,9749,20019,52.33175812,54.45372103,21.24192606
NB.F.PL#2,MF.PC.F.Neo.2,MF.PC.F.Neo,Macrophage,Peritoneal Cavity,F4/80+CD102+,Ginhoux,none,000008544769_E06,E06,Peter See,36,15523676,10211900,65.78,11070,18367,60.48128478,64.77950804,19.16976911
DC.cDC1.LV#1,DC.cDC1.XCR1p.Lv.1,DC.cDC1.XCR1p.Lv,Dendritic Cell,Liver,CD45+ XCR1+ CD11c+ MHCII+,Guilliams,none,000008527969_E01,E01,Charlotte Scott,27,12799442,8782810,68.62,11226,18250,59.08259784,62.8130094,19.35242066
DC.cDC1.LV#2,DC.cDC1.XCR1p.Lv.2,DC.cDC1.XCR1p.Lv,Dendritic Cell,Liver,CD45+ XCR1+ CD11c+ MHCII+,Guilliams,none,000008527969_F01,F01,Charlotte Scott,27,12132181,8364837,68.95,11144,18322,59.06264314,62.95553043,19.5610465
DC.cDC1.LV#3,DC.cDC1.XCR1p.Lv.3,DC.cDC1.XCR1p.Lv,Dendritic Cell,Liver,CD45+ XCR1+ CD11c+ MHCII+,Guilliams,none,000008527969_G01,G01,Charlotte Scott,27,14504054,9930722,68.47,11512,20329,61.18881697,65.55466324,19.0784561
DC.cDC2.LV#1,DC.cDC2.172ap.Lv.1,DC.cDC2.172ap.Lv,Dendritic Cell,Liver,CD45+ CD172a+ CD11c+ MHCII+,Guilliams,none,000008527969_A02,A02,Charlotte Scott,27,11247045,7756503,68.96,11460,18603,59.05221683,62.97380066,19.57716872
DC.cDC2.LV#2,DC.cDC2.172ap.Lv.2,DC.cDC2.172ap.Lv,Dendritic Cell,Liver,CD45+ CD172a+ CD11c+ MHCII+,Guilliams,none,000008527969_B02,B02,Charlotte Scott,27,8286537,5551698,67,10700,17668,54.67369958,57.99780043,19.98228358
DC.cDC2.LV#3,DC.cDC2.172ap.Lv.3,DC.cDC2.172ap.Lv,Dendritic Cell,Liver,CD45+ CD172a+ CD11c+ MHCII+,Guilliams,none,000008527969_C02,C02,Charlotte Scott,27,9369670,6390187,68.2,11103,19216,56.47299355,59.82015918,19.78306797
DC.cDC2.LV#4,DC.cDC2.172ap.Lv.4,DC.cDC2.172ap.Lv,Dendritic Cell,Liver,CD45+ CD172a+ CD11c+ MHCII+,Guilliams,none,000008527969_D02,D02,Charlotte Scott,27,6000999,3709907,61.82,10223,18197,52.23410534,54.67891339,19.96886144
DC.pDC.LV#1,DC.pDC.120g8p11cintp6Cp.Lv.1,DC.pDC.120g8p11cintp6Cp.Lv,Dendritic Cell,Liver,120g8+ CD11c(int) Ly6C+ MHCII+,Guilliams,none,000008527969_E02,E02,Charlotte Scott,27,12634154,8891295,70.38,11490,17724,61.01898317,64.94140804,18.48984089
DC.pDC.LV#2,DC.pDC.120g8p11cintp6Cp.Lv.2,DC.pDC.120g8p11cintp6Cp.Lv,Dendritic Cell,Liver,120g8+ CD11c(int) Ly6C+ MHCII+,Guilliams,none,000008527969_F02,F02,Charlotte Scott,27,13824144,9742059,70.47,11719,19126,61.77590687,65.84904937,18.50315831
DC.pDC.LV#3,DC.pDC.120g8p11cintp6Cp.Lv.3,DC.pDC.120g8p11cintp6Cp.Lv,Dendritic Cell,Liver,120g8+ CD11c(int) Ly6C+ MHCII+,Guilliams,none,000008527969_G02,G02,Charlotte Scott,27,10136416,7052334,69.57,11326,22641,58.70466001,62.93776791,19.32745
DC.pDC.LV#4,DC.pDC.120g8p11cintp6Cp.Lv.4,DC.pDC.120g8p11cintp6Cp.Lv,Dendritic Cell,Liver,120g8+ CD11c(int) Ly6C+ MHCII+,Guilliams,none,000008527969_H02,H02,Charlotte Scott,27,10094644,6333122,62.74,11106,23043,53.60532172,55.56137504,20.97216995
MF.KC.APAP.12h.LV#1,MF.KC.Clec4FpTim4p64p.APAP.12h.Lv.1,MF.KC.Clec4FpTim4p64p.APAP.12h.Lv,Macrophage,Liver,Clec4F+ Tim4+ CD45+ F4/80+ CD64+,Guilliams,none,000008527969_G03,G03,Charlotte Scott,27,13649928,9339811,68.42,11795,18264,60.70416855,64.67473269,18.21350681
MF.KC.APAP.12h.LV#2,MF.KC.Clec4FpTim4p64p.APAP.12h.Lv.2,MF.KC.Clec4FpTim4p64p.APAP.12h.Lv,Macrophage,Liver,Clec4F+ Tim4+ CD45+ F4/80+ CD64+,Guilliams,none,000008527969_H03,H03,Charlotte Scott,27,10886522,7744587,71.14,11361,18149,58.9301178,62.09073915,18.4802362
MF.KC.APAP.12h.LV#4,MF.KC.Clec4FpTim4p64p.APAP.12h.Lv.4,MF.KC.Clec4FpTim4p64p.APAP.12h.Lv,Macrophage,Liver,Clec4F+ Tim4+ CD45+ F4/80+ CD64+,Guilliams,none,000008527969_B04,B04,Charlotte Scott,27,11556350,8146022,70.49,11495,17788,60.00896909,63.81591729,18.74184161
